RecId,Валюта,Дата,Накладная,Внутренняя накладная,Номенклатура,Описание,Количество,Единица измерения,Сумма,Сумма НДС,Поставщик,Наименование поставщика
5637218328.0,RUB,2020-12-31,44100837414/0407,ВН-021294,000000123,Услуги ИТ,0.0,шт,1887.6,377.52,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218329.0,RUB,2020-12-31,44100838278/0407,ВН-021295,000000123,Услуги ИТ,0.0,шт,17148.0,3429.6,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218330.0,RUB,2020-12-31,44100837413/0407,ВН-021296,000000123,Услуги ИТ,0.0,шт,7344.0,1468.8,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218331.0,RUB,2020-12-31,44100836758/0407,ВН-021297,000000123,Услуги ИТ,0.0,шт,985.82,197.16,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218332.0,RUB,2020-12-31,44100837240/0407,ВН-021298,000000123,Услуги ИТ,0.0,шт,10094.7,2018.94,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218333.0,RUB,2020-12-31,44100837269/0407,ВН-021299,000000123,Услуги ИТ,0.0,шт,20360.0,4072.0,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218334.0,RUB,2020-12-31,44100837029/0407,ВН-021300,000000123,Услуги ИТ,0.0,шт,26123.3,5224.66,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218335.0,RUB,2020-12-31,44100837029/0407,ВН-021300,000000123,Услуги ИТ,0.0,шт,4105.27,821.05,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
5637218336.0,RUB,2020-12-31,12000044/60,ВН-021301,000000205,Перевыставляемые услуги 20%,1.0,шт,50030.0,10006.0,П0000719,Филиал ФГП ВО ЖДТ России на СКЖД
5637218337.0,RUB,2020-12-24,12000022/62,ВН-021302,000000205,Перевыставляемые услуги 20%,1.0,шт,23372.25,4674.45,П0000719,Филиал ФГП ВО ЖДТ России на СКЖД
5637218338.0,RUB,2021-01-13,ХХХ0154528192,ВН-021303,000000745,оплата строховой премии по договору №ХХХ0154528192,0.0,шт,2559.18,0.0,П0004574,"Страховое акционерное общество ""ВСК"""
5637218344.0,RUB,2020-12-03,5343_809,ВКН-000918,105022718,Помпа пневматическая,-1.0,шт,-61900.0,-12380.0,П0005202,"ООО ""Элемер Кубань"""
5637218345.0,RUB,2020-12-03,5343_809,ВКН-000918,105000140,Преобразователь давления эталонный,-1.0,шт,-40375.0,-8075.0,П0005202,"ООО ""Элемер Кубань"""
5637218346.0,RUB,2020-12-03,5343_809,ВКН-000918,101112547,"Штуцер переходной М20х1,5",-1.0,шт,-1391.67,-278.33,П0005202,"ООО ""Элемер Кубань"""
5637218347.0,RUB,2020-12-03,5343_809,ВКН-000918,101112547,"Штуцер переходной  G1/2""",-1.0,шт,-1391.67,-278.33,П0005202,"ООО ""Элемер Кубань"""
5637218348.0,RUB,2020-12-03,5343_809,ВКН-000918,000002386,Пресс пневматический,-1.0,шт,-101383.33,-20276.67,П0005202,"ООО ""Элемер Кубань"""
5637218349.0,RUB,2020-12-03,"809,",ВН-021311,105022718,Помпа пневматическая,1.0,шт,61900.0,12380.0,П0005202,"ООО ""Элемер Кубань"""
5637218350.0,RUB,2020-12-03,"809,",ВН-021311,105000140,Преобразователь давления эталонный,1.0,шт,40375.0,8075.0,П0005202,"ООО ""Элемер Кубань"""
5637218351.0,RUB,2020-12-03,"809,",ВН-021311,101112547,"Штуцер переходной М20х1,5",1.0,шт,1391.67,278.33,П0005202,"ООО ""Элемер Кубань"""
5637218352.0,RUB,2020-12-03,"809,",ВН-021311,101112547,"Штуцер переходной  G1/2""",1.0,шт,1391.67,278.33,П0005202,"ООО ""Элемер Кубань"""
5637218353.0,RUB,2020-12-03,"809,",ВН-021311,000002386,Пресс пневматический,1.0,шт,101383.33,20276.67,П0005202,"ООО ""Элемер Кубань"""
5637218354.0,RUB,2020-12-31,Н-0013119,ВН-021313,90100000015,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (САХАР И ПРОЧИЕ) декабрь 2020г,234857.0,кВтч,1354754.46,270950.89,П0003874,ООО Южная энергосбытовая компания
5637218355.0,RUB,2020-12-31,Н-0013119,ВН-021313,90100000017,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (ВОДА)  декабрь 2020г,16983.0,кВтч,95302.48,19060.5,П0003874,ООО Южная энергосбытовая компания
5637218356.0,RUB,2020-12-31,5544_Н-0013119,ВКН-000919,90100000015,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (САХАР И ПРОЧИЕ) декабрь 2020г,-234857.0,кВтч,-1354754.46,-270950.89,П0003874,ООО Южная энергосбытовая компания
5637218357.0,RUB,2020-12-31,5544_Н-0013119,ВКН-000919,90100000017,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (ВОДА)  декабрь 2020г,-16983.0,кВтч,-95302.48,-19060.5,П0003874,ООО Южная энергосбытовая компания
5637218358.0,RUB,2020-12-31,2146,ВН-021314,90100000015,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (САХАР И ПРОЧИЕ) декабрь 2020г,234857.0,кВтч,1352271.37,270454.28,П0003874,ООО Южная энергосбытовая компания
5637218359.0,RUB,2020-12-31,2146,ВН-021314,90100000017,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (ВОДА)  декабрь 2020г,16983.0,кВтч,97785.57,19557.11,П0003874,ООО Южная энергосбытовая компания
