RecId;Валюта;Дата;Накладная;Внутренняя накладная;Номенклатура;Описание;Количество;Единица измерения;Сумма;Сумма НДС;Поставщик;Наименование поставщика
5637269641;RUB;21.12.2020;513;ВН-030578;109097969;Плакаты;4;шт;11200; 0,00;ПС-0100414;"ООО ""РЕКЛАМНОЕ АГЕНТСТВО ""БЕЛАЯ ВОРОНА"""
5637269642;RUB;22.12.2020;31043370/003;ВН-030579;000000089;Сертификация, обследование и аттестация оборудования ОП (Второй надзорный аудит ИСМ);0;шт;301625; 60 325,00;ПС-0033187;"АО ""СЖС Восток Лимитед"""
5637269643;RUB;16.12.2020;125;ВН-030580;000000172;"Текущий ремонт зданий и сооружений СГП
по счету № 150
 от 07.12.20г.";0;шт;8166,67; 1 633,33;ПС-0035266;ИП Лямкин Олег Иванович
5637269644;RUB;09.01.2021;1;ВН-030581;000000172;"Текущий ремонт зданий и сооружений СГП
по счёту № 1 от 09.01.21г";0;шт;8833,33; 1 766,67;ПС-0035266;ИП Лямкин Олег Иванович
5637269645;RUB;31.12.2020;111;ВН-030582;000000152;Перевозка груза на территории завода (свеклы, камня);0;шт;972210; 0,00;ПС-0100439;ИП Юдин Олег Петрович
5637269646;RUB;30.12.2020;2603;ВН-030583;105093402;Радиатор;1;шт;11458,34; 2 291,66;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269647;RUB;30.12.2020;2603;ВН-030583;000002153;Бачок расширительный;1;шт;2375; 475,00;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269648;RUB;30.12.2020;2603;ВН-030583;000000287;Патрубок расширительного бачка;1;шт;3283,33; 656,67;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269649;RUB;30.12.2020;2603;ВН-030583;000000287;Патрубок расширительного бачка;1;шт;3178,33; 635,67;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269650;RUB;30.12.2020;2603;ВН-030583;000000287;Патрубок расширительного бачка;1;шт;1469,17; 293,83;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269651;RUB;30.12.2020;2603;ВН-030583;000000287;Патрубок расширительного бачка;1;шт;1402,5; 280,50;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269652;RUB;30.12.2020;2603;ВН-030583;105096797;Колодка клеммная соединительная 10 отверстий 7,7мм;1;шт;8475; 1 695,00;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269653;RUB;30.12.2020;2603;ВН-030583;105093486;Крышка распределителя;1;шт;2150; 430,00;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269654;RUB;30.12.2020;2603;ВН-030583;000001107;Щуп уровня масла;1;шт;4683,33; 936,67;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269655;RUB;30.12.2020;2603;ВН-030583;000002649;Крыльчатка вентилятора;1;шт;1066,67; 213,33;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269656;RUB;30.12.2020;2603;ВН-030583;000002669;Панель обтекателя;1;шт;10098,33; 2 019,67;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269657;RUB;30.12.2020;2603;ВН-030583;000000235;Крышка топливоподкачивающего насоса FP05815;1;шт;5875; 1 175,00;ПС-0035732;"ООО ""КОМПАНИЯ КАРСНАБ"""
5637269658;RUB;02.12.2020;Н-0031411;ВН-030584;000003463;Сооружение (Железная дорога);1;шт;54888333,33; 10 977 666,67;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269659;EUR;31.12.2020;Н-0031412;ВН-030585;000000090;Лабораторные исследования жома;0;шт;96,5; 0,00;ПС-0101024;LABORATOIRE PHYTOCONTROL SAS (налог. агент)
5637269660;EUR;31.12.2020;Н-0031413;ВН-030586;000000090;Лабораторные исследования жома;0;шт;101,5; 0,00;ПС-0101024;LABORATOIRE PHYTOCONTROL SAS (налог. агент)
5637269661;EUR;31.12.2020;Н-0031414;ВН-030587;000000090;"Анализы, исследования, экспертизы ОП
Счет от Еврофинс на 505,20 евро";0;шт;505,2; 0,00;ПС-0101059;Eurofins Analytik GmbH (нал. агент)
5637269662;RUB;31.12.2020;366565000077/Н;ВН-030588;103100440;Дизельное Топливо;603,88;л;23633,51; 4 726,70;ПС-0100761;"ООО ""ЛУКОЙЛ-Интер-Кард"""
5637269663;RUB;31.12.2020;366565000077/Н;ВН-030588;103103228;Бензин АИ-92;277,9;л;10099,35; 2 019,87;ПС-0100761;"ООО ""ЛУКОЙЛ-Интер-Кард"""
5637269664;RUB;31.12.2020;366565000077/Н;ВН-030588;103105512;Бензин АИ-95;605,41;л;23900,52; 4 780,11;ПС-0100761;"ООО ""ЛУКОЙЛ-Интер-Кард"""
5637269665;RUB;28.12.2020;2;ВН-030589;000000063;Изготовление и монтаж площадок обслуживания;0;шт;875000; 175 000,00;ПС-0100413;"ООО ""СтройКомплект"""
5637269666;RUB;14.01.2021;б/н.;ВН-030590;000000127;Прочие услуги (ЖКХ) текущий ремонт г.Каменка, ул.Дружбы,8б-16 лиц.счет 23616;0;шт;846,18; 0,00;ПС-0035545;"ТСЖ ""Сахарник"""
5637269667;RUB;14.01.2021;б/н;ВН-030591;000000127;Прочие услуги (ЖКХ) кап.ремонт г.Каменка, ул.Дружбы,8б-16 лиц.счет 23616;0;шт;810,35; 0,00;ПС-0035545;"ТСЖ ""Сахарник"""
5637269668;RUB;07.01.2021;Н-0031419;ВН-030592;000000118;Прочие услуги АУП(ИТР)10% за авиабилет Пенза-Москва;0;шт;11613,64; 1 161,36;ПС-0100911;"ООО ""Миллениум - командировочные решения"""
5637269669;RUB;07.01.2021;Н-0031419;ВН-030592;000000117;Прочие услуги АУП (ИТР) 20% сервисный сбор за а/билет;0;шт;250; 50,00;ПС-0100911;"ООО ""Миллениум - командировочные решения"""
5637269670;RUB;05.12.2020;196;ВН-030593;000000190;"Услуги железной дороги (внешние, жом) без НДС (ЖДЦ)
по счёту № 34 от 23.09.20г.";0;шт;1787499; 0,00;ПС-0101025;"ООО ""СКАТ-ФОРВАРД"""
5637269671;RUB;28.12.2020;Н-0031421;ВН-030594;000000001;Союзпроект. Договор ТО11-20. РД на монтаж подогревателя 250.;0;шт;80000; 0,00;ПС-0033776;"ООО ""Союзпроект"""
5637269672;RUB;31.12.2020;12-18474/303;ВН-030595;103103228;Бензин АИ-92;205;л;7428,75; 1 485,75;ПС-0033324;"ООО ""РН-Карт"""
5637269673;RUB;31.12.2020;12-18474/303;ВН-030595;103105512;Бензин АИ-95;1768,63;л;68392,66; 13 678,53;ПС-0033324;"ООО ""РН-Карт"""
5637269674;RUB;22.12.2020;200630006;ВН-030596;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269675;RUB;22.12.2020;200831002;ВН-030597;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269676;RUB;22.12.2020;200930003;ВН-030598;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269677;RUB;22.12.2020;200430013;ВН-030599;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269678;RUB;22.12.2020;201031002;ВН-030600;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269679;RUB;22.12.2020;200531009;ВН-030601;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269680;RUB;22.12.2020;200731006;ВН-030602;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269681;RUB;22.12.2020;201130002;ВН-030603;000000123;Услуги ИТ;0;шт;2818; 0,00;ПС-0034246;"ООО ""Алгоритм-Проф"""
5637269682;RUB;11.01.2021;2;ВН-030604;108093411;Пиломатериал;3;м3;19500; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269683;RUB;11.01.2021;2;ВН-030604;101094333;Фанера;5;шт;4000; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269684;RUB;11.01.2021;4;ВН-030605;108093411;Пиломатериал;3;м3;19500; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269685;RUB;11.01.2021;4;ВН-030605;108095750;Цементно-стружечная плита/ДСП-ДВП;50;шт;16000; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269686;RUB;11.01.2021;4;ВН-030605;000000469;Гвозди;4;кг;260; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269687;RUB;11.01.2021;1;ВН-030606;109094166;Удлинитель;1;шт;180; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269688;RUB;11.01.2021;1;ВН-030606;101093465;Пена монтажная;16;шт;5840; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269689;RUB;11.01.2021;1;ВН-030606;108095750;Цементно-стружечная плита/ДСП-ДВП;40;шт;12800; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269690;RUB;11.01.2021;1;ВН-030606;108093411;Пиломатериал;1;м3;6500; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269691;RUB;11.01.2021;1;ВН-030606;101093638;Электроды МР 4мм;15;кг;2520; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269692;RUB;11.01.2021;1;ВН-030606;109005404;Лента липучая(скотч);28;шт;1800; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269693;EUR;28.12.2020;Н-0031437;ВН-030607;000000002;ICCE. Договор 32/19 от 27.12.2019. Реконструкция грануляции;0;шт;7362; 0,00;ПС-0100095;Компания ICCE D.O.O. (нал. агент)
5637269694;RUB;28.12.2020;Н-0031438;ВН-030608;000000054;Диэлектрические перчатки;0;шт;10800; 0,00;ПС-0032883;ИП Муллин Андрей Александрович
5637269695;EUR;28.12.2020;Н-0031439;ВН-030609;000000002;ICCE. Договор подряда 29/19 от 27.12.2019. Надзор за подключением оборудования мойки и насосной;0;шт;11638; 0,00;ПС-0100095;Компания ICCE D.O.O. (нал. агент)
5637269696;RUB;11.01.2021;20;ВН-030610;109094383;Пистолет;2;шт;2340; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
